id,vi,cn
126,"Bức thư viết cho chính mình số 126 Nhắm mắt lại để trái tim im lặng mà tự nhủ với bản thân rằng: Người khác nghĩ gì ta không điều khiển được, người khác làm gì ta cũng không cưỡng ép họ khác đi được. Điều duy nhất ta có thể làm là dốc hết sức làm tốt việc của bản thân, đi trên con đường của mình, sống tốt theo nguyên tắc đã đặt ra từ trước. Cho dù người khác có đối xử tệ bạc với bạn thì thời gian cũng như cuộc đời cũng sẽ nhất định không đối xử tệ với bạn.",写给自己的第126封信 我们控制不了; 闭上眼睛， 别人想什么， 安静内心告诉自己。 别人做 我们也强求不了。 就是尽心尽力做好自己的事， 走 唯一可以做的， 什么， 时间也不会亏 即使有人亏待了你， 按自己的原则， 自己的路， 好好生活。 待你， 人生更加不会亏待你。
127,"Bức thư viết cho chính mình số 127 Đừng hạ thấp giá trị bản thân để phù hợp với người khác mà hãy dồn toàn lực tiến về phía trước. Đợi đến một ngày bạn đứng trên đỉnh cao danh vọng, bạn sẽ phát hiện ra rằng: Thực ra đằng sau những người chỉ trích bạn vẫn còn rất rất nhiều người yêu bạn. Bởi đơn giản thôi, đa số những người yêu bạn đều âm thầm và lặng lẽ.",写给自己的第127封信 其 等你登上顶峰会发现， 不要自降身价迎合人， 全力以赴往前走吧， 实在非议你的人背后， 还有更多爱你的人。 往往是沉默的 因为爱你的人， 大多数。
128,Bức thư viết cho chính mình số 128 gì. Quan hệ không phải bạn cứ theo đuổi là được và phải do bạn thu hút được. Chỉ có sự trao đổi đồng giá mới có thể đối lại sự giúp đỡ hợp tình hợp lí. Tuy nghe có vẻ tàn nhẫn nhưng đó là sự thật không thể phủ nhận. Quan hệ không ở người khác mà được ẩn chứa trong chính bạn. Chỉ khi bạn trở nên tài giỏi bạn mới có được những mối quan hệ hữu ích. Thay vì lãng phí thời gian làm quen người khác chi bằng bạn dành thời gian nâng cao giá trị bản thân.,写给自己的第128封信 人脉也不是追求来的， 而是吸引 如果你不够优秀， 人脉是不值钱的， 虽然听起来很冷， 只有等价的交换， 但这是 才能得到合理的帮助。 来的。 而藏在自己身上： 人脉不在别人的身上， 唯有让自己变得强大， 你 事实！ 不如花时间提高自 与其把时间花在多认识人上面， 才能获得有用的人脉！ 己的个人价值
129,"Bức thư viết cho chính mình số 129 Nếu như có người làm tốn thương bạn, bạn có thể tha thứ cho anh ta nhưng đừng bao giờ dễ dàng tin tưởng anh ta. Tha thứ là bỏ qua cho bản thân còn tin tưởng một cách mù quáng chính là tạo cơ hội cho người ta làm tốn thương bạn thêm một lần nữa.",写给自己的第129封信 如果有人伤害了你，可以原谅他，但不要，而盲目信任却只会给他再伤害你的机会。 但不要再轻易相信他。原谅是放过 可以原谅他， 自己，
130,"Bức thư viết cho chính mình số 130 Người biết được mình không hoàn hảo và có dũng khí thay đối bản thân là người vô cùng may mắn. Họ biết rõ bản thân thực sự cần gì, hơn nữa còn đạt được cuộc sống mà mình mong muốn. Rất ít người một bước mà có được cuộc sống mà mình mong muốn. Có thể chúng ta phải đi một đoạn đường rất dài, rất lòng vòng, nhưng thế thì đã sao? Giống như bạn đi trong đêm khuya, tưởng chừng vô thưởng vô phạt nhưng thực ra bạn thu được cả bầu trời sao sáng và rèn luyện được tâm tính của bản thân.",写给自己的第130封信 他们知道自己真 能够发现自己的不足并勇敢改变自己的人是幸运的， 正想要什么， 而且得到了自己想要的生活。很少有人能一步就拥有自己想 也许我们要走了很长一段时间的弯路， 但这有什么关系呢? 要的生活， 就 像在夜路中行走，你收获了满天闪亮的星星， 磨炼了心性。
131,"Bức thư viết cho chính mình số 131 Tôi luôn không đủ tốt, không đủ hoàn hảo, nhưng như thế thì có sao cơ chứ? biếng, có lúc kiên cường, có lúc yếu đuối, có lúc bao dung, có lúc khinh bỉ, nhưng tôi vẫn đang đi trên con đường ngày càng tốt đẹp hơn.",写给自己的第131封信 这就是我， 我也不完美， 我永远不够好， 有时欢 可这又有什么呢? 有时包容， 有时懒散， 有时脆弱， 有时伤感， 有时坚强， 有时奋进， 但我一直走在更好的路上。 有时不屑，
132,Bức thư viết cho chính mình số 132 Không ai ghét bạn có thể do bạn chẳng có gì thu hút cả. Một cá tính rõ ràng có thể khiến cho những người thích mình hay ghét mình phân biệt rõ rệt. Đó chính là cái được gọi cá tính riêng. Một người tài giỏi đương nhiên sẽ bị ghen tị. Hầu như chắng có ai thích thú với việc ghen tức với những người kém cỏi hơn mình. Những gì bạn cần làm là cứ tiếp tục tiến về phía trước. Nếu như bạn dừng lại chỉ để chứng minh bản thân với người đời thì bạn đã đánh mất những gì nguyên bản thuộc về mình.,写给自己的第132封信 那可能意味 可能就有多少人讨厌你。 有多少人喜欢你， 没人讨厌你， 往往会让喜欢与讨厌的人泾渭分明。 着你没什么可取之处。 鲜明的个性，  很少有人愿意去踢一只死狗。 这就是人性。优秀必然会引发嫉妒， 你要做 若你停下企图拼命对他们证明自己， 的就是继续前行， 那你将丢失原本属 于自己的风景
133,"Bức thư viết cho chính mình số 133 Khi bạn vừa gầy lại xinh đẹp, trong ví đều là tiền do bản thân nỗ lực kiếm được, bạn mới ngộ ra rằng bạn làm gì có thời gian để tính toán được mất, để đoán này đoán nọ, để phán xét người khác chứ. Giới hạn của bạn chính là không mù quáng, không dựa dẫm và có tự tôn riêng. Khi “bông hoa” của bạn nở rộ, bươm bướm sẽ tự bay đến. Khi bạn nối bật, trời sẽ sắp đặt an bài.",写给自己的第133封信 你就会恍 钱包里都是自己努力赚来的钱的时候， 当你又瘦又好看， 哪有时间患得患失， 哪有时间揣摩别人。 哪有时间猜东猜西， 然大悟， 不 这就是你的底气。 蝴蝶自来； 你若盛开， 有自尊， 迷茫， 你若精 不依附， 天自安排。
134,Bức thư viết cho chính mình số 134 Đến một độ tuổi nhất định bạn phải học cách nói ít đi nhưng mỗi lời nói đều có Ích và có trọng lượng. Bạn không cần thể hiện rõ sự vui buồn. Hãy đối mặt với chuyện lớn một cách thản nhiên và có giới hạn của bản thân mình. Ẩ,写给自己的第134封信 便要学会寡言， 喜怒不 每一句话都要有用， 有重量。 到了一定年龄， 有自己的底线。 形于色， 大事淡然，
135,"Bức thư viết cho chính mình số 135 Ngày nào cũng tự nhủ với bản thân rằng phải khống chế cảm xúc của bản thân, nên yếu đuối, không có tính cách mà đang dần nâng cao vị thế của bản thân. Trong mọi chuyện không được tuỳ tiện ác ý phán đoán người khác. Đừng vì lợi ích của bản thân mà gây phiền phức cho người khác, không tùy ý phỉ báng người khác và không vu oan người khác, đây là những yêu cầu cơ bản nhất dành cho bản thân của bạn.",写给自己的第135封信 每一天都会告诉自己要好好控制情绪， 谨言慎行， 这不是将 不抱怨， 凡事不以恶意揣度别 而是在慢慢地提升自己。 自己变得懦弱和没有性格， 这是对自己最基 不妄自菲薄， 不以私利给他人添堵， 也不诋毁他人， 本的要求。
136,"Bức thư viết cho chính mình số 136 Có một ngày bạn sẽ hiểu rằng, bạn không thế quá hiền lành bởi người đời chỉ cũng khoan dung và rộng lượng, người khác cũng không cảm ơn bạn đâu. Có lúc bạn . phải tỏ ra tức giận, không thế đối xử quá dịu dàng và nhẫn nại với kẻ khác, bởi hiền lành quá làm cho chúng ta mất đi giá trị và sự tôn nghiêm của bản thân. Hiền lành quá đôi khi cũng là một dạng ngốc nghếch.",写给自己的第136封信 因为人们只会挑软柿子捏， 人不能太善良， 有一天你会明白， 如果 对 有时候应该适当有点脾气， 事事都太大度和宽容， 别人也不会感激你， 因过分善良会让我们丢失自己的价值和尊 待有些人真不能太温柔和忍耐， 过分善良也是一种傻。 严
137,"Bức thư viết cho chính mình số 137 Cuộc đời không có gì là hoàn hảo cả, chúng ta chỉ có thế cố gắng hết sức mà thôi. Ai cũng có suy nghĩ riêng của mình. Quan điểm không giống nhau, cách làm không giống nhau và cách sống khác nhau nên chúng ta không cần phải can thiệp vào cuộc sOng của IgườỜi Khác. Người ta có tốt thì cũng qừứng gắcnh t đừng các thủ, Người ta không tốt cũng đừng công kích hoặc đừng khinh bỉ.",写给自己的第137封信 我们就尽力好了， 每个人都会有自己的想法， 人生无法做到完美， 理 我们没必要去干涉别人， 甚至 念不同， 活法就不同， 做法不同， 影响别人， 攻击别人。他好， 不去鄙视。 不去打击， 不去报复； 不去嫉妒， 他不好，
138,"Bức thư viết cho chính mình số 138 Khi cái cây không còn khoe khoang cành lá của mình nữa mà cắm rễ thật sâu xuống lòng đất, cái cây đó mới thực sự gọi là vững chắc. Khi một cái cây không còn so cái cây đó mới thực sự cao lớn. Cây muốn lớn mạnh cần vững chắc và cao lớn, con người muốn trưởng thành cũng cần như vậy. Khi một người không còn khoe khoang mà biết cách tỏa sáng, cuộc sống của người đó mới thực sự gọi là giàu có.",写给自己的第138封信 当一棵树不再炫耀自己叶繁枝茂， 它才真正 而是深深扎根泥土时， 而是强大自己的內径 当一棵树不再攀比自己与天空的距离， 地拥有深度； 人的成长同样需要 它才真正地拥有高度。 树的生长需要深度和高度， 他的生命将变得真 而是照耀的时候， 深度和高度! 当一个人不再是炫耀， 正富有！
139,"Bức thư viết cho chính mình số 139 Có được tấm lòng rộng lớn như biến mới có thể có được cuộc đời như biến. Có được sự yên lặng của biển mới có thể chịu được mọi sóng to gió lớn. Cuộc đời giống giống như biến rộng lớn thì vẫn mãi rộng lớn. Nếu như bạn trong sạch như nước thì không sợ bị nghỉ ngờ. Nếu bạn có tấm lòng như nước thì không sợ đàm tiếu. Nếu bạn tĩnh lặng như nước thì không sợ phiền phức. Hãy sống không tranh giành, không",写给自己的第139封信 拥有海一样的胸怀， 才能 拥有海一样的宁静， 才能有海一样的人生； 心宽故能受， 有波澜不惊。 镇得住波涛汹涌。做人如海， 有跌宕起伏， 海 如果你有水的清澈， 宽故能宽。 如果你有水的胸怀， 就不惧猜疑； 就不畏 不争、 如果你有水的宁静， 流言； 不辩， 就无视纷扰。 无畏、 无惧。
140,"Bức thư viết cho chính mình số 140 Trên đời này, điều khó xử là ở chỗ: Không phải ai cũng ở trình độ đúng với tố chất vốn có của bạn. Bạn nhường nhịn người khác sẽ lấn tới, bạn tự tỉ người khác sẽ dương dương tự đắc, bạn nuốt giận chịu đựng thì người khác sẽ được voi đòi tiên. Bạn ửang điểm xinh đẹp lộng lẫy, phong độ ngời ngời, người khác sẽ luôn tìm cách đấy bạn ngã xuống đường sắt khiến bạn lâm vào cảnh khốn khổ khó xử. Tố chất không phải để yêu cầu người khác mà là để ràng buộc bản thân. Vì thế nương thân thế tục phải tự nhắc nhở bản thân giữ lại một chút kiêu hãnh, bước chân vào giang hồ phải tự nhắc nhở bản thân giữ lại một chút thanh cao.",写给自己的第140封信 你礼让别人推 不是每个人都处于你的素质水平， 这世界的尴尬在于，- 你忍气吞声别人扯鼻子上脸， 你谦卑别人趾高气扬， 你打扮得花 推揉搡， 素质不能来 枝招展风度翩翩别人一胳膊肘就把你打下地铁让你狼狈不堪。 跻身江 所以委身世俗提醒自己保持点孤傲， 只能来约束自己，- 要求别人， 湖提醒自己留下些清高。
141,"Bức thư viết cho chính mình số 141 ề ~ ? ? ` 4 N s k4 ? ‡ — U=X_=¬ Cuộc đời này giống như trò chơi Angry Bird vậy, mỗi khi bạn thua đều có một vài con heo độc ác đang cười. Việc bạn cân làm là coi như không thấy những tiếng chê cười đó và tập trung cổ vũ bản thân cố lên. Hãy mỉm cười thật vui vẻ rồi tự tin làm tốt mọi chuyện cần làm. Dũng cảm hơn một chút rồi bạn sẽ thấy không có chuyện gì là to tát cả.",写给自己的第141封信 如果你哭，你的对手就会笑。 人生就 你的对手就会哭。 如果你笑， 如果你哭， 总有几只猪在笑。 你要做的就是无视 像愤怒的小鸟， 每次你失败的时候， 嘲笑的声音， 再自信地做好该做的事。 自信地微笑， 给自己打气。 勇敢一 真的没什么大不了。
142,"Bức thư viết cho chính mình số 142 báu cho chúng ta. Làm phụ nữ, bạn hãy hiền dịu đảm đang và biết cách sống sao cho thoải mái. Làm người phụ nữ, bạn cần biết lúc nào phải lạnh lùng, lúc nào thì ấm áp. Làm một người phụ nữ thông minh, bạn càng nên biết lúc nào nói gì và không nên nói gì. Đừng hỏi những câu không hợp với độ tuổi của mình vì điều đó chỉ thể hiện sự ấu trĩ của bạn mà thôi.",写给自己的第142封信 做一个内秀慧中 时间带给我们的不只是年纪的增长， 应该还有阅历， 冷暖自知； 学会云淡风轻的；做一个温凉的女子； 做一个聪明的 的女子， 会显 请不要老是问与自己年龄不符的问题， 该说什么不该说什么。 女子， 得自己很幼稚。
143,"Bức thư viết cho chính mình số 143 Lúc còn trẻ nhất định phải trải nghiệm nhiều thứ mà rút ra nhiều kinh nghiệm quý báu. Cho dù những thứ đó đối với bạn quá xa xỉ hoặc khiến bạn mất hết vốn liếng thì cũng phải thử đế hiếu biết thế giới. Chỉ có những người từng trải mới có cái nhìn rộng lớn bao quát, có thể dễ dàng chống lại cám dỗ, vừa có tỉnh thần phấn chấn lại không bao giờ bị sa ngã.",写给自己的第143封信 多体验一些东西。 年轻时，一定要多让自己有一些经历， 哪怕对你来 说很奢侈， 只有尝试和体验过的人， 穷尽成本也要去尝试， 才能 见世面。 又不会跑偏。 既有动力， 抵御诱惑， 开阔视野，
144,"Bức thư viết cho chính mình số 144 Người càng có nhiều trải nghiệm lại càng đơn giản, trầm tĩnh còn người càng nông cạn thì lại càng hay bốc đồng. Thứ trưởng thành đầu tiên ở mỗi người không phải là cơ thế mà chính là khí chất và trí tuệ. Những thứ này thế hiện qua hành động cử chỉ. Thứ già nhanh nhất ngạc nhiên thay không phải là nhan sắc mà lại là dũng khí bất chấp tất cả.",写给自己的第144封信 越是有故事的人越沉静简单， 越是有故事的人越沉静简单，越是肤浅的人越浮躁不安；人最先成熟的不是身体，而是言谈举止间的气质和智慧；人最先衰老的不是容颜，而是不顾一切的勇气。 的不是身体， 而
145,"Bức thư viết cho chính mình số 145 Khi bạn không đủ tài giỏi thì dù một cơ hội nhỏ bé thôi bạn cũng không thể có được. Khi bạn đủ tài giỏi lập tức trước mắt bạn có cả ngàn cơ hội, bạn muốn tránh cũng chẳng tránh được. Điều này có nghĩa: Khi bạn thực sự xuất sắc thì những thứ bạn muốn ắt sẽ chủ động tới tìm bạn.",写给自己的第145封信 都没有。 你想要一个小小的机会， 当你不够强大的时候， 当你足够  你挡都挡不住。 当你足够优秀的时 你的面前会有一万个机会， 牛的时候， 你想要的一切都会主动来找你。
146,Bức thư viết cho chính mình số 146 Sự cuốn hút thực sự của mỗi người không nằm ở việc bạn có thế để lại ấn tượng luôn muốn ở bên bạn. Sự cuốn hút cũng không nằm ở việc bạn có thể thu hút sự chú ý của anh ấy trong nháy mắt mà là quen biết bạn lâu rồi nhưng anh ấy vẫn luôn trân trọng bạn. Sự cuốn hút càng không phải mới lần đầu gặp nhau đã có cảm giác hận nói từ đáy lòng rằng: “Được gặp em thực sự là điều tuyệt vời nhất”.,写给自己的第146封信 而是对方认识 不是你给对方留下了美好的第一印象， 人真正的魅力， 仍喜欢和你在一起； 你多年后， 而是对 也不是你瞬间吸引了对方的目光， 就有相见恨晚的感觉， 依然欣赏你； 方熟悉你以后， 更不是初次见面后， 能认识你真好。 能由衷地说， 而是历尽沧桑后，
147,"Bức thư viết cho chính mình số 147 Cuộc đời chính là cuộc hành trình không ngừng lựa chọn và không ngừng từ bỏ một cách dứt khoát, bạn không thể có ý chí cố gắng tới tận cùng. Từ bỏ chính là sự giác ngộ của linh tính, thể hiện được trí tuệ của bạn, cũng giống như đưa chim về . rừng, thả cá về nước vậy.",写给自己的第147封信 有所放弃， 才能让有限的 不断放弃的过程。 人生就是一个不断选择、 就不会有顽强的坚持。 放棄是 没有果敢的放弃， 生命释放出最大的能量。 一种慧根的显现， 一种灵性的觉醒， 放鱼入水。 一如放鸟返林、 一
148,"Bức thư viết cho chính mình số 148 Những người nội tâm mềm yếu thường thích dùng những thứ cứng rắn che. giấu. Vì thế mà bạn sẽ thấy rất nhiều viên kim cương Lửa xanh được phụ nữ sưu tầm. Người có nội tâm mạnh mẽ lại thích dùng vẻ đẹp lộng lẫy để thể hiện sự mềm yếu. Vì thế mới có những tà váy thướt tha mềm mại. Thế nên, nhiều khi nhìn người không thế chỉ nhìn vào vẻ bề ngoài mà dễ dàng đánh giá, nhất định cần xem xét thấu đáo. sự",写给自己的第148封信 所以才会有这么 往往喜欢用刚挺坚硬的东西来装饰， 内心柔软的人， 却喜欢花枝招展地 多蓝色火焰——钻石， 而内心坚强的人， 被女性珍藏。 看人时不要只看表面。 才会有缠绵悱恻的裙摆。 扮柔弱， 所以说，
149,"Bức thư viết cho chính mình số 149 Tôi thà giữ im lặng còn hơn kêu ca với những người chẳng hề quan tâm đoái lại cũng chỉ là giả thôi. Hãy khóc thật thoải mái, cười khi trong lòng vui vẻ, chơi hết mình và yêu nhiệt tình. Sống trên đời hà cớ phải gò bó, khép mình cơ chứ? xuanhuá.",写给自己的第149封信 ，也不向那些根本不在意我的人诉苦。 人的感情就像 我宁愿保持沉默， 就随心所欲； 就畅快淋漓； 再装也是假的。 掉了就没了， 牙齿， 何苦畏 生活， 何必扭扭捏捏； 人生， 就淋漓尽致； 就敞开胸怀； 首畏尾。
150,"Bức thư viết cho chính mình số 150 Làm người cần yên lặng, đến một cách yên lặng, đi một cách yên lặng, nỗ lực đạt thành quả trong yên lặng, tuyệt đối tránh việc khoe khoang thể hiện. qiảng gchu ÿ 8 lan] M qingpga",写给自己的第150封信 静静努力， 做人凡事要静， 静静收获， 静静地去， 静静地来， 切忌 喧哗。
151,"Bức thư viết cho chính mình số 151 bản thân. Bạn hãy biết tận hưởng cuộc sống sau khi đã sắp xếp mọi chuyện ổn thỏa. thân. Bạn hãy có sự dịu dàng, biết chia sẻ từ nội tâm mạnh mẽ, không bị những lời nói tầm thường và tình cảm xúi giục. Và trên hết, bạn hãy kiên định với phán đoán của mình, dù có xảy ra việc gì cũng không hối hận. đ",写给自己的第151封信 懂得照顾好自己，在事情处理妥帖后能尽情享受生- 拥有独立的人格， 因自己的苦难自己有能力消释， 不常倾诉， 因内心强大而生出一种体 坚持自己的判断不后悔。 愿你 不被廉价的言论和情感煽动， 恤式的温柔， 成为这样的人。
152,"Bức thư viết cho chính mình số 152 Tự tôn là một phẩm chất cao thượng. Tự luyến - tự yêu thương bản thân là một mức độ cao hơn của tự tôn. Tự tin là khởi nguồn của thành công. Tự lập là giấy thông tự tôn tự yêu thương bản thân như bạn, học được cách tự tin, tự lập, tự cường, tự hào vì thành công rực rỡ của ngày mai!",写给自己的第152封信 是成功的源泉； 是高尚的品德； 自尊， 自信， 是自尊的延伸； 自爱， 学会自 是成功的希望。 自强， 自立， 愿自尊自爱的你， 是成功的保障； 为明天的成功而自豪！ 自强， 自立、
153,"Bức thư viết cho chính mình số 153 Bạn nên thử yêu nhiều hơn một người. Bạn nên đợi chờ một quãng thời gian và học cách sống chung với sự cô đơn, khó chịu, cố chấp, thậm chí là sự yếu đuối và không hoàn hảo của bản thân. Sau trải nghiệm đó, bạn sẽ nhận ra một người sống tốt với chính mình mới có thể có được cả thế giới tốt đẹp hoàn mĩ.",写给自己的第153封信 你要试着多等一些岁月， 你要学会和你的孤 你要试着多爱一些人， 你的拧巴、 一个人只有 以及你的懦弱和不完美好好相处。 你的固执， 和自己相处好了， 才能更好地拥抱这个世界。
154,"Bức thư viết cho chính mình số 094 Nếu như không dành ra thời gian để tự xây dựng nên cuộc sống mà mình mong muốn, đến cuối cùng, bạn sẽ đành phải lãng phí thật nhiều thời gian đế mà ứng phó với một cuộc sống vất vả chẳng như ý muốn.",写给自己的第154封信 一个过于自卑的人，往往过于敏感， 不要活得自卑， 过于敏感的人， 最好的方法就是把焦点放在自己身上， 才 你足够强大了， 总是不开心的。 不会在意他人。
155,"Bức thư viết cho chính mình số 155 Bạn không thể biết được bạn mạnh mẽ đến nhường nào cho đến một ngày bạn phát hiện ra tất cả các điểm tựa xung quanh bạn không còn nữa và bạn vẫn chưa hề gục ngã. Không ai có thể đánh bại bạn ngoại trừ chính bản thân của bạn. Bạn cần học cách bịt tai mình lại, không nghe những lời xì xào bàn tán. Trên đời này không có ai là không khốổ đau và người có thể làm dịu nỗi đau của bạn chỉ có bạn mà thôi. de rén.",写给自己的第155封信 直到有一天你发现你身边的支点都倒下 你不会发现自己有多强大，直到;你也没有倒下。没有人能打倒你， 你要学会捂上自己的 除了你自己， 你也没有倒下。 不去听那些熙熙攘攘的声音。 真正能治 这个世界上没有不苦的人， 耳朵， 只有自己。 愈自己的，
156,Bức thư viết cho chính mình số 156 nhưng sáng hôm sau lại bình tĩnh điềm nhiên vô sự. MX ũ,写给自己的第156封信 而白天却若无其事的人。 属于那些夜晚在被子里哭泣， 真正的坚强，
157,"Bức thư viết cho chính mình số 157 hơn, bạn mãi mãi sẽ chÍ ở trình độ như bây giờ mà thôi.",写给自己的第157封信 没有更高的眼 但会妒忌收入更高的乞丐。 乞丐不一定妒忌百万富翁， 你永远停留在现在的高度。
158,"Bức thư viết cho chính mình số 158 Ưu tú là một thói quen, cuộc đời là một hành trình. Từ bó thế hiện trí tuệ, khuyết điểm là một ân huệ. Cười mà không nói là sự rộng lượng, đau khổ mà không than là sự tôi luyện. Có thể hiểu rõ những điều này, bạn chắc chắn sẽ là người hạnh phúc nhất trên đời.",写给自己的第158封信 放弃是一种智慧， 优秀是一种习惯， 缺陷是一种恩 生命是一种过程， 你就是世界 悟透这些， 痛而不言是一种修为。 笑而不语是一种豁达， 上最幸福的人。
159,Bức thư viết cho chính mình số 159 tỉnh thần cố gắng. Cuộc sống là con đường một chiều không có điểm kết thúc. Muốn kiên trì với mục tiêu bạn cần có dũng khí phi thường. Lấy nụ cười để lái con thuyền cuộc đời mới có thể thu hoạch được một hành trình đặc sắc.,写给自己的第159封信 生活是没有路标 但缺少有精神的人。 这个世界从不缺乏有才能的人， 才会 以微笑驾驭人生之舟， 需要非凡的勇气。 的单向道， 固守心的航向， 收获一路精彩！
160,Bức thư viết cho chính mình số 160 Đừng để ý những gì người khác nói sau lưng bạn bởi những người tài giỏi hơn là sự ngưỡng mộ đó.,写给自己的第160封信 根本懒得提起 别太理会人家背后怎么说你， 因为那些比你强的人， 本身就是一种仰望。 诋毁，
161,"Bức thư viết cho chính mình số 161 Cuộc sống không cần những sự sắp đặt quá hoàn hảo và cuộc đời không cần những thiết kế quá cầu kì. Cho dù làm việc gì cũng phải giữ lại cho mình một chút không gian riêng để bản thân có thể ung dung tự tại xoay sở. Hãy giữ lại một vị trí tốt cho người khác, giữ lại một con đường cho người khác đi và giữ lại một chút thời gian cho mình suy nghĩ. Bất cứ lúc nào cũng phải nhớ giữ lại cho cuộc đời một khoảng trống thích hợp, bạn nhé.",写给自己的第161封信 生活不要安排得太满， 都要给自 不管做什么， 人生不要设计得太挤。 好让自己可以从容转身。 留一点道路 留一点好处让别人占， 己留点空间， 留一点时间让自己思考。任何时候都要记得给人生留点余地。 让别人走，
162,Bức thư viết cho chính mình số 162 Cuộc đời này là của chính bạn nên đừng sống bởi ánh mắt và miệng lưỡi thế gian. Không phải lời nói nào của bạn cũng cần ngưc`ẫ'i khác hiểu. Và cũng không phải sự lựa chọn nào của bạn cũng cần người khác ủng hộ.,写给自己的第162封信 不要活在别人的眼神和口水里。 人生是自己的， 不是所有的言论都需 不是所有的选择都需要别人支持。 要别人理解，
163,"Bức thư viết cho chính mình số 163 một mối tình thì bạn sẽ rất mệt. Chờ đợi một người quá lâu bạn sẽ đau khổ. Hãy nhớ có người nào không thế rời xa được. Nếu như bạn không được trân trọng, không được coi trọng thì hãy học cách ra đi một cách tuyệt vời nhất.",写给自己的第163封信 一份情你付出太多你就累了， 一件事你期望太高你就输了， 一个人你 生活中没有过不去的难关， 等得久了你就痛了。 生命中也没有离不 记住， 学会华丽地转身。 开的人。如果你不被珍惜， 不再重要，
164,"Bức thư viết cho chính mình số 164 Đừng bao giờ sợ làm chính mình. Bạn hãy nhớ rằng bản gốc bao ẩÒ’ cũng có giá trị hơn bản sao. m`.ì, lìng rúshui. Dàndìng anyÌ, xuêhuì dồngdé, cóngér xuéhuÌ cíbei.",写给自己的第164封信 永远不要害怕做你自己。 原创永远比盗版有价值。 记住，
165,"Bức thư viết cho chính mình số 165 Thứ có thể đạt được phải bỏ ra sự nỗ lực may ra mới có thể giành được. Thứ không thể có được thì đừng nghĩ tới. Bạn tôi à, hãy làm một người phụ nữ bình thường, có sở thích, nguyên tắc và tín ngưỡng của riêng mình. Không vội tìm công danh lợi lộc, không khoa trương khinh thường người khác. Bạn đừng phóng đại những điều không may mắn, phải biết cười, biết pha trò, trong lòng phải biết cách lặng như nước. Hãy sống bình lặng như vậy và học cách thấu hiểu, sau đó học cách từ bi bạn nhé. Ấ; 8 gy ; ÿ gÿ ; Á",写给自己的第165封信 要付出努力抓到手； 想也不要去想。 该得到的， 不该得到的， 做这 不急 有自己的喜好， 有自己的信仰， 有自己的原则， 样一个淡淡的女子， 不浮夸轻薄， 却静如 也会打闹， 既会大笑， 功近利， 做到宠辱不惊， 学会懂得， 从而学会慈悲。 淡定安逸，
166,"Bức thư viết cho chính mình số 166 Đừng dùng cách của mình để yêu cầu người khác. Bình luận chuyện gì đó hãy nói vừa phải, đừng nói quá nhiều. Trên đời này không có ai hoàn hảo. Con mắt nhìn hạn hẹp nên trước khi phán xét người khác hãy soi xét bản thân mình. Trái tim như chiếc cân, so'cả mình cả người. Trong lòng có đức là từ bi, nghĩ trước khi nói là lương thiện. Nội hàm của một người đến từ đức độ, khoan dung, sửa được hành vi của mình đế biết cách bao dunpg, tôn trọng.",写给自己的第166封信 不要用自己的方式去要求别人， 也要唏 要出言有尺， 评论一件事， 嘘有度。 心是一杆秤，称人也称 天下无完人， 看人先看己； 眼是一把尺，  是善良。 来 口下留情， 心中有德， 一个人的涵养来自大度， 是慈悲； 才有路可 目中有人， 懂得尊重。 自宽容； 是懂得包容、 一个人的修为， 才有事所为。 心中有爱，
167,"Bức thư viết cho chính mình số 167 Thu hẹp các mối quan hệ, nói chậm lại, mở lòng ra, sống đơn giản hơn, chôn sâu tâm sự dưới đáy lòng. Làm tốt các việc xung quanh mình, những gì bạn muốn sau này bạn sẽ đạt được, đợi bản thân bạn có thể tỏa ánh nắng ấm áp, bạn ắt sẽ không còn sợ lạnh lẽo nữa.",写给自己的第167封信 把故事往心 把生活打理简单， 把心放宽，* 把语速放缓， 把圈子变小， 现在想要的以后都会有， 等你自己可以 把手边事再做得好一点， 底深藏， 就再也不会害怕寒冷了。 发出微光的时候，
168,"Bức thư viết cho chính mình số 168 Cho dù trải qua chuyện gì đều phải nỗ lực khiến bản thân giống như li nước lọc, trầm lặng và sạch sẽ. Nước lọc không phải không có mùi vị gì, nó là thứ mà bạn nhược cũng được, đến cuối cùng đều phải trở lại trạng thái bình thường, làm một li nước lọc thuần khiết, dịu dàng ở mức vừa phải là được rôồi. ì",写给自己的第168封信 要清 都要努力让自己像杯白开水一样，--一 无论经历过什么，- 要沉淀， 白开水并不是索然无味的，- 所有味道的根本。 它是你想要变化的， 绚烂 做一杯清澈的白开水， 低迷也罢， 总是要回归平淡， 也好， 温柔得刚刚好。
169,"Bức thư viết cho chính mình số 169 đường không có ai giúp đỡ, không có ai ủng hộ và không có ai quan tâm. Những gì đã qua là lễ trưởng thành của bản thân bạn. Còn những gì không thếể cho qua, xin hãy bỏ qua vì đó là động không đáy của bản ngã bạn ạ.",写给自己的第169封信 都有咬着牙度过一段没人帮忙、 没人支持、 每一个强大的人， 没人嘘 这就是你的成人礼； 这就是你 求饶了， 过不去， 寒问暖的日子。 过去了， 的无底洞。
